[2024-09-17 00:00:07:1159166][http-nio-8080-exec-4] INFO  p6spy - took 1 ms | select member0_.id as id1_3_0_, member0_.createdAt as createda2_3_0_, member0_.modifiedAt as modified3_3_0_, member0_.deleteYn as deleteyn4_3_0_, member0_.email as email5_3_0_, member0_.nickName as nickname6_3_0_, member0_.password as password7_3_0_, member0_.school as school8_3_0_, member0_.schoolAuthYn as schoolau9_3_0_ from Member member0_ where member0_.id=2
[2024-09-17 00:00:07:1159168][http-nio-8080-exec-4] INFO  p6spy - took 1 ms | select member0_.id as id1_3_0_, member0_.createdAt as createda2_3_0_, member0_.modifiedAt as modified3_3_0_, member0_.deleteYn as deleteyn4_3_0_, member0_.email as email5_3_0_, member0_.nickName as nickname6_3_0_, member0_.password as password7_3_0_, member0_.school as school8_3_0_, member0_.schoolAuthYn as schoolau9_3_0_ from Member member0_ where member0_.id=1
[2024-09-17 00:00:07:1159170][http-nio-8080-exec-4] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/suwan/chatrooms', status code: 200, estimated time: 20ms, used memory: 514136 bytes
[2024-09-17 00:00:07:1159176][http-nio-8080-exec-8] INFO  o.t.d.i.LoggingInterceptor - Received request for '/img/trend/bs-1.jpg'
[2024-09-17 00:00:07:1159178][http-nio-8080-exec-8] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/img/trend/bs-1.jpg', status code: 200, estimated time: 2ms, used memory: 214624 bytes
[2024-09-17 00:00:07:1159179][http-nio-8080-exec-10] INFO  o.t.d.i.LoggingInterceptor - Received request for '/webjars/sockjs-client/sockjs.min.js.map'
[2024-09-17 00:00:07:1159183][http-nio-8080-exec-10] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/webjars/sockjs-client/sockjs.min.js.map', status code: 200, estimated time: 4ms, used memory: 220440 bytes
[2024-09-17 00:00:09:1160318][http-nio-8080-exec-2] INFO  o.t.d.i.LoggingInterceptor - Received request for '/suwan/chatrooms/2'
[2024-09-17 00:00:09:1160323][http-nio-8080-exec-2] INFO  p6spy - took 1 ms | select chat0_.product_id as col_0_0_, chat0_.message as col_1_0_, product1_.title as col_2_0_, product1_.seller_id as col_3_0_, chat0_.owner_id as col_4_0_, chat0_.sendDate as col_5_0_ from Chat chat0_ inner join Product product1_ on (chat0_.product_id=product1_.id) inner join Member member2_ on (member2_.id=product1_.seller_id) inner join Member member3_ on product1_.seller_id=member3_.id inner join Member member4_ on chat0_.owner_id=member4_.id where chat0_.product_id=2 and chat0_.delete_yn=0 order by chat0_.id
[2024-09-17 00:00:09:1160324][http-nio-8080-exec-2] INFO  p6spy - took 0 ms | select member0_.id as id1_3_0_, member0_.createdAt as createda2_3_0_, member0_.modifiedAt as modified3_3_0_, member0_.deleteYn as deleteyn4_3_0_, member0_.email as email5_3_0_, member0_.nickName as nickname6_3_0_, member0_.password as password7_3_0_, member0_.school as school8_3_0_, member0_.schoolAuthYn as schoolau9_3_0_ from Member member0_ where member0_.id=2
[2024-09-17 00:00:09:1160325][http-nio-8080-exec-2] INFO  p6spy - took 0 ms | select member0_.id as id1_3_0_, member0_.createdAt as createda2_3_0_, member0_.modifiedAt as modified3_3_0_, member0_.deleteYn as deleteyn4_3_0_, member0_.email as email5_3_0_, member0_.nickName as nickname6_3_0_, member0_.password as password7_3_0_, member0_.school as school8_3_0_, member0_.schoolAuthYn as schoolau9_3_0_ from Member member0_ where member0_.id=1
[2024-09-17 00:00:09:1160326][http-nio-8080-exec-2] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/suwan/chatrooms/2', status code: 200, estimated time: 8ms, used memory: 275664 bytes
[2024-09-17 00:01:05:1216908][http-nio-8080-exec-6] INFO  o.t.d.i.LoggingInterceptor - Received request for '/chatrooms'
[2024-09-17 00:01:05:1216912][http-nio-8080-exec-6] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/chatrooms', status code: 200, estimated time: 4ms, used memory: 555808 bytes
[2024-09-17 00:01:05:1216922][http-nio-8080-exec-9] INFO  o.t.d.i.LoggingInterceptor - Received request for '/webjars/jquery/jquery.min.js'
[2024-09-17 00:01:05:1216923][http-nio-8080-exec-2] INFO  o.t.d.i.LoggingInterceptor - Received request for '/webjars/sockjs-client/sockjs.min.js'
[2024-09-17 00:01:05:1216923][http-nio-8080-exec-5] INFO  o.t.d.i.LoggingInterceptor - Received request for '/webjars/stomp-websocket/stomp.min.js'
[2024-09-17 00:01:05:1216923][http-nio-8080-exec-4] INFO  o.t.d.i.LoggingInterceptor - Received request for '/css/bootstrap.min.css'
[2024-09-17 00:01:05:1216924][http-nio-8080-exec-7] INFO  o.t.d.i.LoggingInterceptor - Received request for '/css/style.css'
[2024-09-17 00:01:05:1216924][http-nio-8080-exec-8] INFO  o.t.d.i.LoggingInterceptor - Received request for '/chat/css/chat-list.css'
